campus,method,survey_year,year,site,latitude,longitude,MPA_Name,site_designation,site_status
UCSB,SBTL_FISH,1999,1999,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH,2006,2006,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_SWATH_NPS,2008,2008,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH,2005,2005,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_UPC_NPS,2008,2008,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_UPC,2009,2009,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH_CRANE,2004,2004,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_SWATH,2007,2007,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH,2007,2007,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH,2008,2008,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_UPC,2007,2007,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_QUAD,2009,2009,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_SWATH,2009,2009,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH,2009,2009,ANACAPA_ADMIRALS_CEN,34.002883,-119.4252,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH,2009,2009,ANACAPA_ADMIRALS_E,34.003433,-119.418,Anacapa Island SMCA,reference,reference
UCSB,SBTL_UPC_NPS,2008,2008,ANACAPA_ADMIRALS_E,34.003433,-119.418,Anacapa Island SMCA,reference,reference
UCSB,SBTL_SWATH,2007,2007,ANACAPA_ADMIRALS_E,34.003433,-119.418,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH,2007,2007,ANACAPA_ADMIRALS_E,34.003433,-119.418,Anacapa Island SMCA,reference,reference
UCSB,SBTL_UPC,2007,2007,ANACAPA_ADMIRALS_E,34.003433,-119.418,Anacapa Island SMCA,reference,reference
UCSB,SBTL_FISH_CRANE,2004,2004,ANACAPA_ADMIRALS_E,34.003433,-119.418,Anacapa Island SMCA,reference,reference
UCSB,SBTL_QUAD,2009,2009,ANACAPA_ADMIRALS_E,34.003433,-119.418,Anacapa Island SMCA,reference,reference
